AI,ORIGINALITY,gpt-3-8,gpt-3,1,0
AI,ORIGINALITY,gpt-3-9,gpt-3,0.9998,0.0002
Human,ORIGINALITY,human-10,human,0.0001,0.9999
Human,ORIGINALITY,human-11,human,0.03495,0.96505
Human,ORIGINALITY,human-12,human,0.00025,0.99975
Human,ORIGINALITY,human-13,human,0.4899,0.5101
Human,ORIGINALITY,human-14,human,0.024866666666667,0.97513333333333
Human,ORIGINALITY,human-15,human,0.03465,0.96535
Human,ORIGINALITY,human-16,human,0.0006,0.9994
Human,ORIGINALITY,human-17,human,0.1687,0.8313
Text Type,API Name,id,dataset,ai_score,human_score,Error_message
Human,ORIGINALITY,human-18,human,0,1
AI,ORIGINALITY,gpt-3-0,gpt-3,0.9999,0.0001
Human,ORIGINALITY,human-19,human,0.3456,0.6544
AI,ORIGINALITY,gpt-3-1,gpt-3,1,0
AI,ORIGINALITY,gpt-3-2,gpt-3,1,0
Human,ORIGINALITY,human-20,human,0.051933333333333,0.94806666666667
AI,ORIGINALITY,gpt-3-3,gpt-3,0.9999,0.0001
